date,value
2000-02-18,0.2536
2000-03-05,0.2162
2000-03-21,0.2616
2000-04-06,0.2334
2000-04-22,0.3575
2000-05-08,0.3785
2000-05-24,0.4603
2000-06-09,0.382
2000-06-25,0.3335
2000-07-11,0.3279
2000-07-27,0.3312
2000-08-12,0.2924
2000-08-28,0.3319
2000-09-13,0.3582
2000-09-29,0.3377
2000-10-15,0.2585
2000-10-31,0.384
2000-11-16,0.3584
2000-12-02,0.304
2000-12-18,0.2857
2001-01-01,0.3084
2001-01-17,0.2434
2001-02-02,0.3587
2001-02-18,0.3092
2001-03-06,0.4274
2001-03-22,0.3454
2001-04-07,0.4528
2001-04-23,0.4292
2001-05-09,0.4626
2001-05-25,0.3613
2001-06-10,0.3368
2001-06-26,0.345
2001-07-12,0.3079
2001-07-28,0.2903
2001-08-13,0.3182
2001-08-29,0.3355
2001-09-14,0.3554
2001-09-30,0.3701
2001-10-16,0.3595
2001-11-01,0.3282
2001-11-17,0.2781
2001-12-03,0.2132
2001-12-19,0.2866
2002-01-01,0.0655
2002-01-17,0.3188
2002-02-02,0.2152
2002-02-18,0./2019
2002-03-06,0.3017
2002-03-22,0.1169
2002-04-07,0.3171
2002-04-23,0.3444
2002-05-09,0.4346
2002-05-25,0.3749
2002-06-10,0.3838
2002-06-26,0.3946
2002-07-12,0.4123
2002-07-28,0.3436
2002-08-13,0.3615
2002-08-29,0.4059
2002-09-14,0.3663
2002-09-30,0.3634
2002-10-16,0.43
2002-11-01,0.3731
2002-11-17,0.2823
2002-12-03,0.3981
2002-12-19,0.307
2003-01-01,0.2093
2003-01-17,0.2655
2003-02-02,0.2677
2003-02-18,0.0958
2003-03-06,0.2215
2003-03-22,0.2726
2003-04-07,0.2843
2003-04-23,0.4544
2003-05-09,0.41
2003-05-25,0.3761
2003-06-10,0.3879
2003-06-26,0.3582
2003-07-12,0.3509
2003-07-28,0.2886
2003-08-13,0.3287
2003-08-29,0.3273
2003-09-14,0.3961
2003-09-30,0.3702
2003-10-16,0.3185
2003-11-01,0.4502
2003-11-17,0.5116
2003-12-03,0.1513
2003-12-19,0.4313
2004-01-01,0.107
2004-01-17,0.3979
2004-02-02,0.215
2004-02-18,0.195
2004-03-05,0.3196
2004-03-21,0.3755
2004-04-06,0.2445
2004-04-22,0.4405
2004-05-08,0.3456
2004-05-24,0.3851
2004-06-09,0.4363
2004-06-25,0.3615
2004-07-11,0.3676
2004-07-27,0.3838
2004-08-12,0.4451
2004-08-28,0.4642
2004-09-13,0.4043
2004-09-29,0.4168
2004-10-15,0.4528
2004-10-31,0.3022
2004-11-16,0.4479
2004-12-02,0.4508
2004-12-18,0.2209
2005-01-01,0.2391
2005-01-17,0.3112
2005-02-02,0.039
2005-02-18,0.3994
2005-03-06,0./2018
2005-03-22,0.4391
2005-04-07,0.2881
2005-04-23,0.4715
2005-05-09,0.3874
2005-05-25,0.4143
2005-06-10,0.3352
2005-06-26,0.4057
2005-07-12,0.4147
2005-07-28,0.3456
2005-08-13,0.3308
2005-08-29,0.3422
2005-09-14,0.4064
2005-09-30,0.3562
2005-10-16,0.3917
2005-11-01,0.3702
2005-11-17,0.4143
2005-12-03,0.5215
2005-12-19,0.421
2006-01-01,0.421
2006-01-17,0.206
2006-02-02,0.261
2006-02-18,0.2756
2006-03-06,0.3383
2006-03-22,0.279
2006-04-07,0.3458
2006-04-23,0.4661
2006-05-09,0.4486
2006-05-25,0.3674
2006-06-10,0.4417
2006-06-26,0.3821
2006-07-12,0.2809
2006-07-28,0.3247
2006-08-13,0.3263
2006-08-29,0.4012
2006-09-14,0.3576
2006-09-30,0.3297
2006-10-16,0.2779
2006-11-01,0.4263
2006-11-17,0.4297
2006-12-03,0.3079
2006-12-19,0.3151
2007-01-01,0.3568
2007-01-17,0.3053
2007-02-02,0.2903
2007-02-18,0.2219
2007-03-06,0.226
2007-03-22,0.3795
2007-04-07,0.3028
2007-04-23,0.3276
2007-05-09,0.4389
2007-05-25,0.4098
2007-06-10,0.3401
2007-06-26,0.3533
2007-07-12,0.4202
2007-07-28,0.351
2007-08-13,0.3163
2007-08-29,0.2945
2007-09-14,0.3292
2007-09-30,0.3213
2007-10-16,0.4024
2007-11-01,0.3572
2007-11-17,0.3172
2007-12-03,0.3644
2007-12-19,0.2738
2008-01-01,0.3295
2008-01-17,0.2118
2008-02-02,0.2235
2008-02-18,0.2475
2008-03-05,0.2996
2008-03-21,0.3289
2008-04-06,0.4393
2008-04-22,0.4696
2008-05-08,0.3802
2008-05-24,0.3962
2008-06-09,0.4658
2008-06-25,0.3729
2008-07-11,0.3614
2008-07-27,0.4007
2008-08-12,0.4158
2008-08-28,0.3975
2008-09-13,0.3175
2008-09-29,0.4083
2008-10-15,0.3617
2008-10-31,0.2899
2008-11-16,0.3766
2008-12-02,0.3839
2008-12-18,0.2475
2009-01-01,0.1804
2009-01-17,0.3351
2009-02-02,0.3
2009-02-18,0.0154
2009-03-06,0.4243
2009-03-22,0.3078
2009-04-07,0.3729
2009-04-23,0.3687
2009-05-09,0.4599
2009-05-25,0.4561
2009-06-10,0.3689
2009-06-26,0.4371
2009-07-12,0.4171
2009-07-28,0.4126
2009-08-13,0.3878
2009-08-29,0.3813
2009-09-14,0.405
2009-09-30,0.4675
2009-10-16,0.3784
2009-11-01,0.3581
2009-11-17,0.3758
2009-12-03,0.3265
2009-12-19,0.2959
2010-01-01,0.2959
2010-01-17,0.0296
2010-02-02,0.311
2010-02-18,0.37
2010-03-06,0.4308
2010-03-22,0.302
2010-04-07,0.3333
2010-04-23,0.3857
2010-05-09,0.47
2010-05-25,0.5154
2010-06-10,0.4166
2010-06-26,0.3371
2010-07-12,0.4844
2010-07-28,0.468
2010-08-13,0.4413
2010-08-29,0.411
2010-09-14,0.4111
2010-09-30,0.3628
2010-10-16,0.4283
2010-11-01,0.4494
2010-11-17,0.4245
31/2/2010,0.4267
2010-12-19,0.3053
2011-01-01,0.3053
2011-01-17,0.2947
2011-02-02,0.2372
2011-02-18,0.2608
2011-03-06,0.3477
2011-03-22,0.3215
2011-04-07,0.2979
2011-04-23,0.3777
2011-05-09,0.4591
2011-05-25,0.4376
2011-06-10,0.4382
2011-06-26,0.4058
2011-07-12,0.4681
2011-07-28,0.4667
2011-08-13,0.4628
2011-08-29,0.3677
2011-09-14,0.3491
2011-09-30,0.4096
2011-10-16,0.4448
2011-11-01,0.5011
2011-11-17,0.338
2011-12-03,0.3966
2011-12-19,0.3862
2012-01-01,0.3862
2012-01-17,0.3633
2012-02-02,0.363
2012-02-18,0.3462
2012-03-05,0.196
2012-03-21,0.2426
2012-04-06,0.4239
2012-04-22,0.4772
2012-05-08,0.5066
2012-05-24,0.5249
2012-06-09,0.5624
2012-06-25,0.4763
2012-07-11,0.4701
2012-07-27,0.3971
2012-08-12,0.4296
2012-08-28,0.5034
2012-09-13,0.443
2012-09-29,0.388
2012-10-15,0.3863
2012-10-31,0.3987
2012-11-16,0.4515
2/2/2012_A,0.3604
2012-12-18,0.2437
2013-01-01,0.2437
2013-01-17,0.3779
2013-02-02,0.3984
2013-02-18,0.2435
2013-03-06,0.2914
2013-03-22,0.3794
2013-04-07,0.493
2013-04-23,0.4562
2013-05-09,0.4293
2013-05-25,0.486
2013-06-10,0.4944
2013-06-26,0.4603
2013-07-12,0.4384
2013-07-28,0.3951
2013-08-13,0.4075
2013-08-29,0.4222
2013-09-14,0.427
2013-09-30,0.4341
2013-10-16,0.4576
2013-11-01,0.3413
2013-11-17,0.3049
2013-12-03,0.3136
2013-12-19,0.478
2014-01-01,0.2481
2014-01-17,0.3305
2014-02-02,0.3916
2014-02-18,0.3948
2014-03-06,0.3073
2014-03-22,0.3424
2014-04-07,0.3252
2014-04-23,0.4534
2014-05-09,0.5
2014-05-25,0.45
2014-06-10,0.4192
2014-06-26,0.4704
2014-07-12,0.5319
2014-07-28,0.4043
2014-08-13,0.5145
2014-08-29,0.4698
2014-09-14,0.4616
2014-09-30,0.4813
2014-10-16,0.4263
2014-11-01,0.314
2014-11-17,0.1026
2014-12-03,0.2686
2014-12-19,0.4736
2015-01-01,0.3169
2015-01-17,0.2478
2015-02-02,0.3664
2015-02-18,0.2136
2015-03-06,0.2313
2015-03-22,0.3347
2015-04-07,0.4027
2015-04-23,0.446
2015-05-09,0.4846
2015-05-25,0.589
2015-06-10,0.5659
2015-06-26,0.507
2015-07-12,0.4178
2015-07-28,0.419
2015-08-13,0.4452
2015-08-29,0.4588
2015-09-14,0.4979
2015-09-30,0.459
2015-10-16,0.3602
2015-11-01,0.4174
2015-11-17,0.387
2015-12-03,0.3648
2015-12-19,0.4537
2016-01-01,0.2918
2016-01-17,0.051
2016-02-02,0.3363
2016-02-18,0.003
2016-03-05,0.3679
2016-03-21,0.3595
2016-04-06,0.4621
2016-04-22,0.4575
2016-05-08,0.504
2016-05-24,0.508
2016-06-09,0.4882
2016-06-25,0.5252
2016-07-11,0.4848
2016-07-27,0.4677
2016-08-12,0.4604
2016-08-28,0.4439
2016-09-13,0.4517
2016-09-29,0.4651
2016-10-15,0.5009
2016-10-31,0.4333
2016-11-16,0.3075
2016-12-02,0.3329
2016-12-18,0.381
2017-01-01,0.0887
2017-01-17,0.1898
2017-02-02,0.3488
2017-02-18,0.2797
2017-03-06,0.2579
2017-03-22,0.3595
2017-04-07,0.3658
2017-04-23,0.4533
2017-05-09,0.5388
2017-05-25,0.532
2017-06-10,0.44
2017-06-26,0.4031
2017-07-12,0.4901
2017-07-28,0.5096
2017-08-13,0.4752
2017-08-29,0.5006
2017-09-14,0.372
2017-09-30,0.4425
2017-10-16,0.4747
2017-11-01,0.4718
2017-11-17,0.3894
2017-12-03,0.4236
2017-12-19,0.4355
2018-01-01,0.3773
2018-01-17,0.3909
2018-02-02,0.2692
2018-02-18,0.164
2018-03-06,0.3773
2018-03-22,0.3247
2018-04-07,0.4033
2018-04-23,0.4568
2018-05-09,0.5255
2018-05-25,0.5125
2018-06-10,0.5068
2018-06-26,0.4829
2018-07-12,0.4582
2018-07-28,0.4799
2018-08-13,0.3788
2018-08-29,0.4493
2018-09-14,0.4559
2018-09-30,0.254
2018-10-16,0.4529
2018-11-01,0.1795
2018-11-17,0.0944
2018-12-03,0.4276
2018-12-19,0.2183
2019-01-01,0.3436
2019-01-17,0.3506
2019-02-02,0.3093
2019-02-18,0.299
2019-03-06,0.2862
2019-03-22,0.276
2019-04-07,0.3333
2019-04-23,0.3448
2019-05-09,0.4411
2019-05-25,0.5001
2019-06-10,0.4171
2019-06-26,0.452
2019-07-12,0.4684
2019-07-28,0.3346
2019-08-13,0.4158
2019-08-29,0.3871
2019-09-14,0.347
2019-09-30,0.386
2019-10-16,0.3569
2019-11-01,0.3793
2019-11-17,0.3578
2019-12-03,0.3684
2019-12-19,0.2334
2020-01-01,0.2956
2020-01-17,0.3121
2020-02-02,0.2668
